,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63
10,-1.8544497,-1.8826661,-1.8305826,-1.9628892,-1.9037273,-1.8850865,-2.0095596,-1.9967849,-2.0547376,-2.0676286,-2.1185794,-2.1488752,-2.190891,-2.2221873,-2.2191803,-2.3188193,-2.3480308,-2.403349,-2.286964,-2.3196456,-2.4096923,-2.4085956,-2.4428957,-2.4804263,-2.4857087,-2.5142336,-2.5351844,-2.5099554,-2.6271648,-2.5229986,-2.5602145,-2.5918882,-2.7085552,-2.7197757,-2.7019768,-2.7296562,-2.653221,-2.7813056,-2.722915,-2.7756977,-2.7982671,-2.7676158,-2.853444,-2.7812603,-2.779395,-2.8277504,-2.8008995,-2.9093623,-2.8144665,-2.8197427,-2.876305,-2.8855076,-2.9113255,-2.886544,-2.8797262,-2.8705347,-2.9319737,-2.9364896,-2.9079592,-2.9096422,-2.9231756,-2.942742,-2.9169712,-2.8826125
11,-1.9384587,-1.9246423,-1.9398577,-1.9206607,-1.9759359,-2.0013354,-2.0212684,-2.0815828,-2.0469637,-2.0855305,-2.1482556,-2.1988235,-2.216892,-2.2838,-2.2494812,-2.3528671,-2.3045003,-2.3428366,-2.3525217,-2.360491,-2.4359457,-2.4511507,-2.4373894,-2.4663806,-2.5415103,-2.4897025,-2.5164847,-2.5604925,-2.611553,-2.5754092,-2.592197,-2.6762753,-2.666623,-2.668213,-2.7006936,-2.7634952,-2.749056,-2.6630616,-2.7821805,-2.7476032,-2.8041806,-2.797628,-2.7861562,-2.8362532,-2.8008807,-2.7813754,-2.8575976,-2.8433113,-2.820439,-2.8572886,-2.914496,-2.814995,-2.9291341,-2.9101808,-2.931413,-2.8968973,-2.9385023,-2.9104788,-2.9657013,-2.939773,-2.9033034,-2.8857403,-2.9238324,-2.8758478
12,-2.0341651,-2.032371,-1.9305696,-2.0714102,-2.0287807,-2.071939,-2.0486717,-2.1047947,-2.1367474,-2.18208,-2.1833787,-2.2435043,-2.2305276,-2.219744,-2.2752886,-2.3145115,-2.326432,-2.3649316,-2.3138726,-2.3851273,-2.462095,-2.4406836,-2.4349864,-2.5082583,-2.4982073,-2.4952903,-2.5260706,-2.5769238,-2.5856724,-2.6022325,-2.6021986,-2.681698,-2.632022,-2.6163938,-2.6791477,-2.7014933,-2.758037,-2.7331696,-2.7852573,-2.7571955,-2.726952,-2.8027494,-2.8436775,-2.8228173,-2.8636014,-2.8657608,-2.8228004,-2.8984084,-2.9162524,-2.883341,-2.8585558,-2.9393342,-2.9121263,-2.8863306,-2.8856585,-2.9891062,-2.9236038,-2.846853,-2.9261167,-2.9779382,-2.909073,-2.9005806,-2.876858,-2.9610233
13,-2.067522,-1.9961762,-2.021316,-2.0454519,-2.0937717,-2.116936,-2.1024017,-2.172934,-2.092173,-2.2292156,-2.205203,-2.24378,-2.2762105,-2.2563548,-2.2631314,-2.3246038,-2.3545353,-2.405751,-2.4049947,-2.4209125,-2.4262083,-2.4838169,-2.5032394,-2.4690695,-2.5192175,-2.4896119,-2.5441406,-2.6299942,-2.666875,-2.6191912,-2.5967388,-2.6390915,-2.711325,-2.671478,-2.7381096,-2.716175,-2.7514617,-2.7593226,-2.7945035,-2.856758,-2.8037672,-2.8070586,-2.8211436,-2.808023,-2.823712,-2.8584075,-2.844191,-2.936596,-2.9713762,-2.8725448,-2.877029,-2.8598998,-2.915719,-2.8707178,-2.926652,-2.8741357,-2.9406166,-3.0144029,-2.9722304,-2.9320343,-2.9390514,-2.9270484,-2.9626055,-2.9203854
14,-2.1237032,-2.0839899,-2.1163845,-2.0669534,-2.1140082,-2.1283534,-2.16888,-2.2091107,-2.172097,-2.169677,-2.3220077,-2.2568092,-2.2734032,-2.3862402,-2.3483784,-2.4025917,-2.4067562,-2.4148996,-2.3875697,-2.5358965,-2.482466,-2.4510581,-2.4822328,-2.5608225,-2.6227927,-2.565961,-2.580541,-2.5552115,-2.5867155,-2.6728797,-2.671752,-2.6559608,-2.6405194,-2.7181413,-2.6905656,-2.7111318,-2.7123926,-2.7115378,-2.7412786,-2.7433248,-2.739958,-2.833598,-2.7764866,-2.8151236,-2.8412302,-2.8696733,-2.8273392,-2.8887947,-2.8990278,-2.8632689,-2.864163,-2.8642325,-2.9193518,-2.888301,-2.9865441,-2.904343,-2.9248939,-2.8956103,-2.895384,-2.9343743,-2.9722264,-2.9238648,-2.9432316,-2.9468534
15,-2.1193244,-2.1010628,-2.152762,-2.1674745,-2.1034606,-2.1721597,-2.1366367,-2.2504091,-2.1673892,-2.2022924,-2.2407055,-2.3011215,-2.299755,-2.3364983,-2.3381798,-2.3701289,-2.365885,-2.4428895,-2.4603047,-2.4249027,-2.4880574,-2.5267022,-2.4848611,-2.5248547,-2.5734468,-2.538942,-2.6017747,-2.6247544,-2.5694454,-2.6535704,-2.6901512,-2.7145658,-2.7115715,-2.69669,-2.774793,-2.7596478,-2.6861997,-2.8054795,-2.7531734,-2.866966,-2.7730472,-2.7728727,-2.8516772,-2.8826685,-2.8310668,-2.822141,-2.8723924,-2.8690321,-2.8886697,-2.88041,-2.8758295,-2.932314,-2.9268596,-2.9634564,-2.8691897,-2.9163744,-2.8876917,-2.9582973,-2.920415,-2.975434,-3.0065403,-2.9636633,-2.983113,-2.9535875
16,-2.1860635,-2.1662576,-2.1957903,-2.142179,-2.222501,-2.1865587,-2.2650504,-2.2687607,-2.2678936,-2.2899613,-2.289732,-2.297524,-2.2896879,-2.3604963,-2.3441355,-2.4366903,-2.3972626,-2.3962493,-2.3916993,-2.5027437,-2.5515583,-2.5496604,-2.5392096,-2.526985,-2.5486891,-2.5673866,-2.5917826,-2.6449971,-2.6412356,-2.6029198,-2.6613925,-2.6509645,-2.7154367,-2.7518895,-2.819978,-2.6944695,-2.7447171,-2.7640734,-2.8282433,-2.829538,-2.8259919,-2.812247,-2.8077862,-2.8088987,-2.8210437,-2.8623118,-2.9119506,-2.8520765,-2.8955247,-2.908197,-2.942567,-2.9438694,-2.9270985,-2.9441957,-2.9403706,-2.9211318,-2.966687,-2.974501,-2.9238338,-3.0021467,-2.9843516,-2.9484103,-2.9379575,-2.9974988
17,-2.1905422,-2.1990244,-2.209908,-2.176077,-2.2276628,-2.2288485,-2.2883449,-2.2825143,-2.2450573,-2.3148541,-2.33221,-2.3375194,-2.4077356,-2.316671,-2.353718,-2.4948068,-2.4300084,-2.4657607,-2.5195565,-2.5002441,-2.4764743,-2.6005158,-2.5500243,-2.592621,-2.5595856,-2.6549978,-2.6487706,-2.6319988,-2.6537237,-2.6675825,-2.7178307,-2.7549949,-2.7201993,-2.7153804,-2.7149677,-2.722248,-2.7599914,-2.8543923,-2.843694,-2.8297503,-2.8517175,-2.8259783,-2.822008,-2.859556,-2.8693893,-2.8333163,-2.9004486,-2.9171677,-2.8831732,-2.924669,-2.8858376,-2.9081407,-2.9335475,-2.8795166,-2.9205298,-2.9449198,-2.9309099,-2.9771037,-2.978702,-2.9988127,-3.02664,-2.9998667,-2.9801276,-2.9925036
18,-2.2678463,-2.1860423,-2.2594976,-2.2631598,-2.2449145,-2.279,-2.2453012,-2.2828238,-2.3275127,-2.356698,-2.3856673,-2.3259985,-2.3426993,-2.345992,-2.43497,-2.4119372,-2.5229356,-2.403904,-2.5076585,-2.5061183,-2.48821,-2.5134149,-2.6086378,-2.6056812,-2.6168466,-2.5829942,-2.6367877,-2.6908984,-2.6952925,-2.675659,-2.7577703,-2.7100172,-2.8045447,-2.700779,-2.857553,-2.8077116,-2.8172216,-2.8347824,-2.7767062,-2.7678945,-2.8310134,-2.8225265,-2.8182766,-2.875074,-2.914833,-2.8695123,-2.9419045,-2.9064207,-2.946311,-3.0069509,-2.9029171,-2.9612365,-2.9681144,-2.9613445,-2.946722,-2.9443285,-2.9410238,-2.9479635,-3.02251,-2.989497,-2.9593785,-3.0034385,-3.034459,-3.0095696
19,-2.2299848,-2.2602532,-2.326198,-2.3019073,-2.3156188,-2.3286824,-2.36892,-2.2711053,-2.3564522,-2.371766,-2.3414416,-2.377929,-2.493464,-2.4069154,-2.4298265,-2.446044,-2.4635663,-2.4494328,-2.5633962,-2.531293,-2.4854238,-2.5414846,-2.6105556,-2.6278439,-2.6034288,-2.6371293,-2.6448543,-2.6427839,-2.671906,-2.6538107,-2.6915135,-2.7315564,-2.6707275,-2.755691,-2.7226312,-2.8333702,-2.8009076,-2.8248672,-2.8659391,-2.8595953,-2.8753974,-2.8606908,-2.9006107,-2.8366039,-2.8295681,-2.8950713,-2.9083714,-2.9002361,-2.9505744,-2.8859148,-2.9769044,-2.8979867,-2.9790435,-3.0089383,-2.9267547,-2.9989107,-3.0230975,-2.9562075,-2.915199,-2.9886646,-2.990094,-2.975288,-3.045795,-3.036707
