,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63
10,-1.8665926,-1.8763325,-1.8874493,-1.9078531,-1.9331098,-1.9591467,-1.9898503,-2.020496,-2.0556352,-2.0911198,-2.1244295,-2.1554854,-2.1881704,-2.2166855,-2.2446675,-2.271722,-2.3012843,-2.3258836,-2.3529565,-2.3728817,-2.395275,-2.4183407,-2.439642,-2.462063,-2.4828475,-2.5064023,-2.5285366,-2.549803,-2.571269,-2.5916865,-2.6096773,-2.6284223,-2.6470513,-2.6610577,-2.6758509,-2.6901739,-2.7068338,-2.7204733,-2.7358737,-2.7489493,-2.7637832,-2.7758026,-2.791575,-2.7999356,-2.8142395,-2.822554,-2.8329012,-2.840741,-2.8478477,-2.8580456,-2.86627,-2.8730545,-2.8781133,-2.8831847,-2.888505,-2.8927963,-2.8961444,-2.901025,-2.9026287,-2.9062681,-2.908065,-2.9093747,-2.9097838,-2.9104877
11,-1.9348316,-1.9425123,-1.953263,-1.97017,-1.9875417,-2.0108223,-2.0333924,-2.0696583,-2.0950985,-2.1294284,-2.1588335,-2.1894877,-2.218026,-2.2446055,-2.2707703,-2.2972627,-2.3236947,-2.3484845,-2.3717587,-2.394267,-2.4165297,-2.4375339,-2.4606483,-2.4810078,-2.5042534,-2.5258818,-2.546757,-2.5667355,-2.5898526,-2.6117175,-2.6286697,-2.6505609,-2.661769,-2.6785905,-2.693321,-2.708562,-2.7274818,-2.742045,-2.7539043,-2.7669013,-2.7796235,-2.7914252,-2.8042958,-2.8156927,-2.8248107,-2.8334455,-2.8425474,-2.8494246,-2.8582754,-2.866616,-2.8754828,-2.8823028,-2.8889031,-2.8951843,-2.898209,-2.9021401,-2.90072,-2.910417,-2.9129372,-2.9156888,-2.9191232,-2.9190555,-2.9196217,-2.9151359
12,-1.9819124,-1.9951582,-2.005597,-2.0162406,-2.0306897,-2.0556202,-2.0782864,-2.103631,-2.130379,-2.1574526,-2.183164,-2.2103796,-2.2362785,-2.2629855,-2.2838423,-2.3040364,-2.334829,-2.3527777,-2.37819,-2.3981404,-2.4197729,-2.4371629,-2.4636505,-2.478981,-2.5065448,-2.5217636,-2.5424242,-2.5694702,-2.5907612,-2.6107926,-2.6215723,-2.6441362,-2.6570058,-2.6761212,-2.6862316,-2.7006085,-2.7166796,-2.73477,-2.7462425,-2.7662416,-2.7807434,-2.7907166,-2.7956057,-2.8047516,-2.8188324,-2.824933,-2.8345377,-2.849519,-2.8598347,-2.867916,-2.8689425,-2.876286,-2.8831825,-2.888435,-2.8993635,-2.8999727,-2.9040866,-2.907949,-2.9110136,-2.912872,-2.9143927,-2.915362,-2.919323,-2.9179313
13,-2.0413978,-2.0458817,-2.0549705,-2.066263,-2.0803666,-2.0925128,-2.1133716,-2.132783,-2.1558814,-2.18223,-2.2062256,-2.2390938,-2.258262,-2.2877696,-2.304892,-2.3316617,-2.352279,-2.3730426,-2.3936338,-2.4202008,-2.4445994,-2.4687188,-2.4837704,-2.5102305,-2.525282,-2.5492003,-2.5712786,-2.5940473,-2.614871,-2.6337364,-2.649883,-2.6664271,-2.6830003,-2.7002459,-2.7152345,-2.7313547,-2.747348,-2.7622035,-2.7762167,-2.787909,-2.8009217,-2.8126965,-2.8229089,-2.8298545,-2.8427653,-2.8522878,-2.8567374,-2.8664494,-2.8756292,-2.883529,-2.8979452,-2.8974981,-2.9062343,-2.915594,-2.9175377,-2.918955,-2.9234061,-2.9277658,-2.9310424,-2.9338427,-2.9351442,-2.9354768,-2.9356592,-2.9343467
14,-2.081063,-2.0863674,-2.0960276,-2.1056216,-2.1181774,-2.1344726,-2.14604,-2.1705084,-2.1856024,-2.213254,-2.2370024,-2.2574487,-2.2783763,-2.3081224,-2.3248744,-2.3466313,-2.371498,-2.397521,-2.4167778,-2.4342175,-2.4566834,-2.4763165,-2.4882753,-2.51216,-2.5368454,-2.5549989,-2.5725121,-2.5916793,-2.6111288,-2.6286106,-2.6447942,-2.6647258,-2.6767685,-2.6998699,-2.7084532,-2.7324946,-2.746629,-2.7578392,-2.7697463,-2.7832723,-2.7968678,-2.8073816,-2.8140419,-2.8306735,-2.8364434,-2.8537092,-2.8611715,-2.868726,-2.8743973,-2.8903153,-2.8896246,-2.903362,-2.9009426,-2.9059207,-2.9142613,-2.9135566,-2.9237232,-2.9270744,-2.926911,-2.92864,-2.9419007,-2.944394,-2.945311,-2.9392922
15,-2.1206446,-2.131466,-2.1386383,-2.1482882,-2.1589928,-2.173765,-2.1903875,-2.2039337,-2.2253017,-2.2400653,-2.2596574,-2.2799613,-2.303751,-2.3232317,-2.349193,-2.3702815,-2.3882136,-2.4089923,-2.4254897,-2.4443645,-2.4672716,-2.4885426,-2.5078123,-2.528751,-2.5491672,-2.5693579,-2.5846052,-2.6021762,-2.6185098,-2.6329746,-2.6547318,-2.6714962,-2.6895852,-2.705397,-2.7216127,-2.7377517,-2.7493384,-2.7652254,-2.7759235,-2.7915645,-2.8010986,-2.8143668,-2.820549,-2.8354352,-2.8465104,-2.8587365,-2.8683171,-2.8782675,-2.886314,-2.8925562,-2.898762,-2.9054384,-2.9115474,-2.9126365,-2.9182682,-2.92812,-2.9372618,-2.94375,-2.9438035,-2.9540093,-2.9505312,-2.951675,-2.9523408,-2.9504583
16,-2.1566758,-2.159788,-2.1639466,-2.1710777,-2.1834652,-2.1967926,-2.2126024,-2.2264128,-2.2440183,-2.2633507,-2.2874389,-2.304345,-2.3238285,-2.3434715,-2.3633358,-2.3875453,-2.4000878,-2.4184148,-2.436526,-2.4579847,-2.4804485,-2.4977787,-2.5158696,-2.5416887,-2.5571659,-2.5783446,-2.5930138,-2.618721,-2.636743,-2.6464462,-2.6630487,-2.67985,-2.6970048,-2.7114177,-2.7267284,-2.7483723,-2.7561822,-2.7763917,-2.7889414,-2.7959685,-2.8081002,-2.8253472,-2.836371,-2.8473642,-2.8539975,-2.869523,-2.880585,-2.8831067,-2.8887863,-2.8958652,-2.9027371,-2.909887,-2.9153042,-2.9218376,-2.9318273,-2.9375703,-2.9386156,-2.9443529,-2.9483998,-2.947471,-2.9481695,-2.9501753,-2.95632,-2.9484477
17,-2.1851768,-2.1863866,-2.1968877,-2.2006314,-2.2112648,-2.223543,-2.2363982,-2.2516103,-2.2680805,-2.2877078,-2.30726,-2.325757,-2.3441255,-2.3632185,-2.380426,-2.3951492,-2.4117413,-2.4295042,-2.447694,-2.4673018,-2.4864542,-2.508862,-2.524583,-2.5445402,-2.5625403,-2.5815024,-2.6063104,-2.617865,-2.636726,-2.653516,-2.6692708,-2.6906142,-2.7015424,-2.7167275,-2.7321215,-2.7458935,-2.760891,-2.7734394,-2.7863982,-2.799329,-2.8126943,-2.8233695,-2.8335893,-2.8478284,-2.8582585,-2.8696787,-2.8820112,-2.8871648,-2.896903,-2.9044542,-2.9045296,-2.911718,-2.919291,-2.9240665,-2.9303095,-2.9353807,-2.9394796,-2.9421093,-2.9451618,-2.9493208,-2.9523032,-2.955241,-2.952282,-2.9538496
18,-2.232019,-2.2334049,-2.2384682,-2.244622,-2.2532234,-2.2619128,-2.2733414,-2.2902267,-2.3042521,-2.3251956,-2.3418214,-2.3581707,-2.3721864,-2.3938587,-2.4096556,-2.4246566,-2.4430122,-2.4577904,-2.476874,-2.4923053,-2.5119982,-2.5279975,-2.5475378,-2.5666072,-2.584445,-2.6037118,-2.6224163,-2.6415584,-2.6599836,-2.6752257,-2.6913579,-2.7042446,-2.72068,-2.735066,-2.7503035,-2.7657175,-2.7795584,-2.7914472,-2.8077946,-2.8184953,-2.8308532,-2.8428342,-2.8494384,-2.8614564,-2.869981,-2.882648,-2.8892403,-2.8988378,-2.9100194,-2.9153473,-2.9221401,-2.9285755,-2.9362,-2.9431934,-2.946374,-2.9545646,-2.955191,-2.961294,-2.964506,-2.9653213,-2.9698863,-2.9728024,-2.971478,-2.9742289
19,-2.2841883,-2.286341,-2.2902699,-2.2966087,-2.3022506,-2.3075297,-2.3197107,-2.3342013,-2.3495448,-2.359418,-2.3763463,-2.3894985,-2.4025555,-2.4171994,-2.4330115,-2.4482296,-2.4649644,-2.482956,-2.4987378,-2.516544,-2.5343113,-2.550485,-2.5706034,-2.5883245,-2.6069221,-2.6253545,-2.6448562,-2.6639605,-2.6801424,-2.6937673,-2.7075703,-2.7223349,-2.737535,-2.7524393,-2.7663946,-2.7816973,-2.7955391,-2.8091645,-2.8235614,-2.8345888,-2.8454366,-2.8562944,-2.870547,-2.878007,-2.8917818,-2.9058275,-2.91547,-2.9250698,-2.9338257,-2.938874,-2.947912,-2.953623,-2.9622688,-2.9677296,-2.9736817,-2.9782543,-2.9765525,-2.9803867,-2.9893057,-2.9926064,-2.9956763,-2.997239,-3.0039172,-3.0054045
20,-2.3223276,-2.3231418,-2.3211331,-2.3227763,-2.3307052,-2.3370657,-2.3463933,-2.3642058,-2.3763096,-2.3937957,-2.4064863,-2.4191892,-2.4314249,-2.449511,-2.460824,-2.4741623,-2.495837,-2.5124261,-2.5277336,-2.5448182,-2.5612195,-2.5792453,-2.594489,-2.6136446,-2.6347797,-2.6540675,-2.6692724,-2.6900804,-2.7019684,-2.7158113,-2.7290628,-2.745904,-2.759566,-2.7754204,-2.7899456,-2.8041592,-2.818912,-2.8323638,-2.8436022,-2.8578417,-2.8682487,-2.8768795,-2.886748,-2.8992028,-2.9099984,-2.9186027,-2.927924,-2.93598,-2.9453409,-2.952149,-2.9574797,-2.9639726,-2.9709399,-2.9779346,-2.9827118,-2.9850833,-2.9914255,-2.9995594,-3.0045586,-3.0070658,-3.0126262,-3.015081,-3.014224,-3.016069
